"field_id","capture_site","landscape","MamDiv","MamHill","MicDiv","Dim.1scaled","Dim.2scaled","parShnEx","habitat.size.tabellor","canopy_cover_perc","canopy_height_m","understorey_density_perc","GenDiv"
"928","TA","island",0.438254930931155,1.229,0.797,-1.63366236665128,-0.550819187938405,1.05527536810677,6.9,76,12,46,0.947
"931","TA","island",0.438254930931155,1.229,0.773,-1.63366236665128,-0.550819187938405,1.47463695300069,6.9,76,12,46,0.936
"932","TA","island",0.438254930931155,1.229,0.75,-1.63366236665128,-0.550819187938405,1.87591461818309,6.9,76,12,46,0.958
"933","TA","island",0.438254930931155,1.229,0.747,-1.63366236665128,-0.550819187938405,1.5691925832142,6.9,76,12,46,0.767
"934","TA","island",0.438254930931155,1.229,0.814,-1.63366236665128,-0.550819187938405,1,6.9,76,12,46,0.918
"936","TA","island",0.438254930931155,1.229,0.763,-1.63366236665128,-0.550819187938405,1.74203887179181,6.9,76,12,46,0.834
"938","GIG1","continuous.forest",0.262364264467491,1.122,0.878,2.51152348901328,1.99233509129573,1.31152341404742,2693.8,92,17,48,0.955
"945","GIG1","continuous.forest",0.262364264467491,1.122,0.738,2.51152348901328,1.99233509129573,1.14189757816331,2693.8,92,17,48,0.939
"946","GIG1","continuous.forest",0.262364264467491,1.122,0.797,2.51152348901328,1.99233509129573,1.55137847960861,2693.8,92,17,48,0.785
"947","GIG1","continuous.forest",0.262364264467491,1.122,0.806,2.51152348901328,1.99233509129573,1,2693.8,92,17,48,0.994
"949","GIG1","continuous.forest",0.262364264467491,1.122,0.792,2.51152348901328,1.99233509129573,1.06014560821788,2693.8,92,17,48,0.963
"951","GIG1","continuous.forest",0.262364264467491,1.122,0.803,2.51152348901328,1.99233509129573,1.0388864200372,2693.8,92,17,48,0.95
"954","MG","island",0.314810739840034,1.14,0.772,-1.90037331592179,-0.304457395438814,1.30758967520883,5.2,79,11,35,0.725
"955","MG","island",0.314810739840034,1.14,0.702,-1.90037331592179,-0.304457395438814,1.51628504681734,5.2,79,11,35,0.743
"956","MG","island",0.314810739840034,1.14,0.705,-1.90037331592179,-0.304457395438814,1.45394660244355,5.2,79,11,35,0.692
"957","MG","island",0.314810739840034,1.14,0.689,-1.90037331592179,-0.304457395438814,2.17423244708422,5.2,79,11,35,0.961
"959","MG","island",0.314810739840034,1.14,0.736,-1.90037331592179,-0.304457395438814,1.44582528958824,5.2,79,11,35,0.912
"960","PB","continuous.forest",0.631271776841858,1.44,0.727,1.36840431018065,1.65307718982475,1.30363741987581,1036.5,88,19,37,0.965
"963","PB","continuous.forest",0.631271776841858,1.44,0.746,1.36840431018065,1.65307718982475,1.4488966823777,1036.5,88,19,37,0.937
"964","PB","continuous.forest",0.631271776841858,1.44,0.725,1.36840431018065,1.65307718982475,1.17991629094756,1036.5,88,19,37,0.956
"965","PB","continuous.forest",0.631271776841858,1.44,0.848,1.36840431018065,1.65307718982475,1,1036.5,88,19,37,0.985
"966","PB","continuous.forest",0.631271776841858,1.44,0.794,1.36840431018065,1.65307718982475,1.88988157484231,1036.5,88,19,37,0.982
"967","PB","continuous.forest",0.631271776841858,1.44,0.764,1.36840431018065,1.65307718982475,1.30913738908655,1036.5,88,19,37,0.92
"972","PB","continuous.forest",0.631271776841858,1.44,0.794,1.36840431018065,1.65307718982475,1.99555719944697,1036.5,88,19,37,0.546
"978","BO","continuous.forest",1.22082992139236,2.522,0.763,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.746
"979","BO","continuous.forest",1.22082992139236,2.522,0.728,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.817
"982","BO","continuous.forest",1.22082992139236,2.522,0.737,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.737
"985","BO","continuous.forest",1.22082992139236,2.522,0.794,1.78879572751579,0.968121909744839,1.16464293646865,750.5,90,19,50,0.794
"987","BO","continuous.forest",1.22082992139236,2.522,0.854,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.823
"991","BO","continuous.forest",1.22082992139236,2.522,0.7,1.78879572751579,0.968121909744839,1,750.5,90,19,50,0.941
"996","MG","island",0.314810739840034,1.14,0.74,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.707
"1000","MG","island",0.314810739840034,1.14,0.709,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.575
"1001","MG","island",0.314810739840034,1.14,0.748,-1.90037331592179,-0.304457395438814,1.6296664500635,5.2,79,11,35,0.988
"1007","MG","island",0.314810739840034,1.14,0.742,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.687
"1011","MG","island",0.314810739840034,1.14,0.866,-1.90037331592179,-0.304457395438814,2.2152099197332,5.2,79,11,35,0.665
"1012","MG","island",0.314810739840034,1.14,0.798,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.669
"1013","MG","island",0.314810739840034,1.14,0.769,-1.90037331592179,-0.304457395438814,1.2173710562527,5.2,79,11,35,0.716
"1021","MG","island",0.314810739840034,1.14,0.753,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.56
"1034","MG","island",0.314810739840034,1.14,0.775,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.513
"1035","MG","island",0.314810739840034,1.14,0.801,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.531
"1041","MG","island",0.314810739840034,1.14,0.739,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.345
"1045","MG","island",0.314810739840034,1.14,0.75,-1.90037331592179,-0.304457395438814,1,5.2,79,11,35,0.437
"1048","MG","island",0.314810739840034,1.14,0.79,-1.90037331592179,-0.304457395438814,1.42482804938987,5.2,79,11,35,0.501
"1053","GIG2","continuous.forest",0.741937344729377,1.549,0.821,1.8070842801529,2.50442474719601,1.99592713985499,2693.8,87,17,37,0.874
"1054","GIG2","continuous.forest",0.741937344729377,1.549,0.834,1.8070842801529,2.50442474719601,1,2693.8,87,17,37,0.64
"1056","GIG2","continuous.forest",0.741937344729377,1.549,0.76,1.8070842801529,2.50442474719601,1.97464219414711,2693.8,87,17,37,0.956
"1061","GU","island",0,1,0.784,-1.23525231857971,-0.828987259231511,1.91345038320465,5.9,83,11,47,0.693
"1069","GU","island",0,1,0.739,-1.23525231857971,-0.828987259231511,1.96362584494766,5.9,83,11,47,0.255
"1070","GU","island",0,1,0.818,-1.23525231857971,-0.828987259231511,1,5.9,83,11,47,0.454
"1073","GU","island",0,1,0.75,-1.23525231857971,-0.828987259231511,1.38414548846169,5.9,83,11,47,0.512
"1086","GU","island",0,1,0.759,-1.23525231857971,-0.828987259231511,1,5.9,83,11,47,0.579
"1099","GU","island",0,1,0.734,-1.23525231857971,-0.828987259231511,1.7117982265901,5.9,83,11,47,0.646
"1101","GU","island",0,1,0.746,-1.23525231857971,-0.828987259231511,1,5.9,83,11,47,0.538
"1103","GU","island",0,1,0.7,-1.23525231857971,-0.828987259231511,1.95199641412887,5.9,83,11,47,0.729
"1104","GU","island",0,1,0.714,-1.23525231857971,-0.828987259231511,1,5.9,83,11,47,0.612
"1123","PH","island",0.3293037471426,1.171,0.69,-1.54776712978603,-0.0687711514832324,2.43322346913741,9.1,82,13,31,0.337
"1134","PH","island",0.3293037471426,1.171,0.741,-1.54776712978603,-0.0687711514832324,1.93781924087838,9.1,82,13,31,0.677
"1146","PH","island",0.3293037471426,1.171,0.784,-1.54776712978603,-0.0687711514832324,1.38414548846169,9.1,82,13,31,0.394
"1148","PH","island",0.3293037471426,1.171,0.697,-1.54776712978603,-0.0687711514832324,1,9.1,82,13,31,0.605
